type,timestamp,cluster,node,sourceip,user,latitude,longitude,city,country
INVALID_USER,2019-03-28T03:58:50.197Z,knvm0-1,ccnie,209.146.20.162,other
DISCONNECT_INVALID_USER,2019-03-28T03:58:50.197Z,kn4,kn4,209.146.20.162,other
UNABLE_TO_NEGOTIATE,2019-03-28T03:58:51.243Z,pc306,pc306,209.146.20.162,UNKNOWN
INVALID_USER,2019-03-28T03:59:03.758Z,pc250,localhost,UNKNOWN,other
UNABLE_TO_NEGOTIATE,2019-03-28T03:59:03.758Z,pc256,ppt,209.146.20.162,UNKNOWN
INVALID_USER,2019-03-28T03:59:03.758Z,pc512,node-56,209.146.20.162,other
INVALID_USER,2019-03-28T03:59:04.171Z,c220g2-011320,vhost-5,177.94.224.157,other
TOO_MANY_PASSWORD_ATTEMPTS,2019-03-28T03:59:04.517Z,hp007,ovscontr,58.242.82.12,other
FAILED_PASSWORD,2019-03-28T03:59:04.517Z,ms1102,node,218.92.0.137,other
UNABLE_TO_NEGOTIATE,2019-03-28T03:59:03.757Z,pc848,client,209.146.20.162,UNKNOWN
DISCONNECT_INVALID_USER,2019-03-28T03:59:03.758Z,pc779,vhost-0,209.146.20.162,other
INVALID_USER,2019-03-28T03:59:03.758Z,pc301,localhost,209.146.20.162,other
UNABLE_TO_NEGOTIATE,2019-03-28T03:59:03.756Z,ops,UNKNOWN,61.184.247.3,UNKNOWN
INVALID_USER,2019-03-28T03:59:03.758Z,pc796,controller,209.146.20.162,other
UNABLE_TO_NEGOTIATE,2019-03-28T03:59:03.757Z,knvm0-1,ccnie,UNKNOWN,UNKNOWN
INVALID_USER,2019-03-28T03:59:03.758Z,pc285,pc285,209.146.20.162,other
INVALID_USER,2019-03-28T03:59:03.758Z,pc779,vhost-0,209.146.20.162,other
UNABLE_TO_NEGOTIATE,2019-03-28T03:59:03.758Z,pc438,node-63,209.146.20.162,UNKNOWN
INVALID_USER,2019-03-28T03:59:03.758Z,pc848,client,UNKNOWN,other
INVALID_USER,2019-03-28T03:59:03.758Z,pc285,pc285,UNKNOWN,other
UNABLE_TO_NEGOTIATE,2019-03-28T03:59:03.758Z,pc455,serv5,209.146.20.162,UNKNOWN
INVALID_USER,2019-03-28T03:59:03.758Z,pc848,client,78.194.31.97,other
INVALID_USER,2019-03-28T03:59:03.758Z,pc434,node-60,209.146.20.162,other
UNABLE_TO_NEGOTIATE,2019-03-28T03:59:03.758Z,pc554,node-8,209.146.20.162,UNKNOWN
UNABLE_TO_NEGOTIATE,2019-03-28T03:59:03.756Z,ops,UNKNOWN,61.184.247.3,UNKNOWN
UNABLE_TO_NEGOTIATE,2019-03-28T03:59:03.758Z,pc483,node-68,209.146.20.162,UNKNOWN
UNABLE_TO_NEGOTIATE,2019-03-28T03:59:03.758Z,pc434,node-60,209.146.20.162,UNKNOWN
UNABLE_TO_NEGOTIATE,2019-03-28T03:57:42.576Z,pc315,pc315,209.146.20.162,UNKNOWN
UNABLE_TO_NEGOTIATE,2019-03-28T03:57:42.576Z,pc857,kv,209.146.20.162,UNKNOWN
UNABLE_TO_NEGOTIATE,2019-03-28T03:57:42.576Z,pc442,localhost,91.140.251.113,UNKNOWN
